id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,200,UNIT,2019
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,134,UNIT,2019
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,239,UNIT,2019
180,32,JAWA BARAT,3271,KOTA BOGOR,198,UNIT,2019
181,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2019
182,32,JAWA BARAT,3273,KOTA BANDUNG,952,UNIT,2019
183,32,JAWA BARAT,3274,KOTA CIREBON,147,UNIT,2019
184,32,JAWA BARAT,3275,KOTA BEKASI,2208,UNIT,2019
185,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2019
186,32,JAWA BARAT,3277,KOTA CIMAHI,116,UNIT,2019
187,32,JAWA BARAT,3278,KOTA TASIKMALAYA,216,UNIT,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2019
189,32,JAWA BARAT,3201,KABUPATEN BOGOR,638,UNIT,2020
190,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2020
191,32,JAWA BARAT,3203,KABUPATEN CIANJUR,500,UNIT,2020
192,32,JAWA BARAT,3204,KABUPATEN BANDUNG,258,UNIT,2020
193,32,JAWA BARAT,3205,KABUPATEN GARUT,167,UNIT,2020
194,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,42,UNIT,2020
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2020
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,70,UNIT,2020
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,288,UNIT,2020
198,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,90,UNIT,2020
199,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,146,UNIT,2020
200,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78,UNIT,2020
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,364,UNIT,2020
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,142,UNIT,2020
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,500,UNIT,2020
204,32,JAWA BARAT,3216,KABUPATEN BEKASI,200,UNIT,2020
205,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,270,UNIT,2020
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,240,UNIT,2020
207,32,JAWA BARAT,3271,KOTA BOGOR,198,UNIT,2020
208,32,JAWA BARAT,3272,KOTA SUKABUMI,130,UNIT,2020
209,32,JAWA BARAT,3273,KOTA BANDUNG,524,UNIT,2020
210,32,JAWA BARAT,3274,KOTA CIREBON,178,UNIT,2020
211,32,JAWA BARAT,3275,KOTA BEKASI,2223,UNIT,2020
212,32,JAWA BARAT,3276,KOTA DEPOK,1300,UNIT,2020
213,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,481,UNIT,2020
215,32,JAWA BARAT,3279,KOTA BANJAR,50,UNIT,2020
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,501,UNIT,2021
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2021
218,32,JAWA BARAT,3203,KABUPATEN CIANJUR,431,UNIT,2021
219,32,JAWA BARAT,3204,KABUPATEN BANDUNG,232,UNIT,2021
220,32,JAWA BARAT,3205,KABUPATEN GARUT,167,UNIT,2021
221,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48,UNIT,2021
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,135,UNIT,2021
223,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,65,UNIT,2021
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,328,UNIT,2021
225,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,92,UNIT,2021
226,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,202,UNIT,2021
227,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,115,UNIT,2021
228,32,JAWA BARAT,3213,KABUPATEN SUBANG,362,UNIT,2021
229,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,206,UNIT,2021
230,32,JAWA BARAT,3215,KABUPATEN KARAWANG,500,UNIT,2021
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,981,UNIT,2021
